COVID-19 DETECTION USING CONCURRENT NEURAL NETWORK OPTIMIZED WITH COATI OPTIMIZER ALGORITHM,,,,,,,
,COUGH SOUND,CT SCAN IMAGE,"VITALS (OXYGEN,TEMPERATURE, AND HEART RATE)",,,,
ACCURACY,0.945,0.978,0.9,,,,
F1 SCORE,0.918,0.964,0.899,,,,
RECALL,0.8995,0.977,0.9,,,,
PRECISION,0.915,0.968,0.915,,,,
ROC AUC ,0.905,0.993,0.905,,,,
,,,,,,,
IOT-STREAM COVID-19 DETECTION USING CONCURRENT NEURAL NETWORK OPTIMIZED WITH COATI OPTIMIZER ALGORITHM,,,,,,,
,COUGH SOUND,CT SCAN IMAGE,"VITALS (OXYGEN,TEMPERATURE, AND HEART RATE)",,,,
ACCURACY,0.925,0.994,0.921,,,OBSERVATIONS,
F1 SCORE,0.894,0.984,0.925,,,IMAGE,There were many categorizes of False Negative
RECALL,0.902,0.993,0.901,,,SOUND,There were many categorizes of False Negative
PRECISION,0.894,0.998,0.915,,,VITALS,
ROC AUC ,N/A,N/A,N/A,,,,
,,,,,,,
COVID-19 DETECTION USING CONCURRENT NEURAL NETWORK,,,,,,,
,COUGH SOUND,CT SCAN IMAGE,"VITALS (OXYGEN,TEMPERATURE, AND HEART RATE)",,,,
ACCURACY,0.811,0.948,0.821,,,,
F1 SCORE,0.801,0.931,0.672,,,,
RECALL,0.8,0.91,0.799,,,,
PRECISION,0.81,0.908,0.799,,,,
ROC AUC ,0.799,0.911,0.821,,,,
